sid,gid,gname,sname,fname,pinyin,abbr,tid,tname,pid,pname,nickname,company,join_day,height,birth_day,star_sign_12,star_sign_48,birth_place,speciality,hobby,experience,catch_phrase,weibo_uid,weibo_verifier,blood_type,tieba_kw,status
40036,40,SHY,陈奕君,陈 奕君,Chen YiJun,CYJ,401,SIII,4002,SHY48 二期生,夏阳,沈阳丝芭文化传媒有限公司,2017-04-29,163,07.01,巨蟹座,同理心巨蟹座，同理心的一周，6.25-7.2,中国 河北 保定,自恋、做饭、捧场,打游戏和看人打游戏、制作表情包,2017.04.29 加入SHY48二期生<br>2017.04.29 加入SHY48TeamS队（TeamSIII）,,6226645701,9f841b18,-,shy48,44
40004,40,SHY,关思雨,关 思雨,Guan SiYu,GSY,401,SIII,4001,SHY48 一期生,酒窝、大驴,沈阳丝芭文化传媒有限公司,2016-10-29,166,08.29,处女座,系统化处女座，系统化的一周，8.26-9.2,中国 辽宁 本溪,一字马壁咚、脚踢后脑勺,跳舞、调酒、茶艺、插花,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 SIII队（TeamSIII）,如果有一种微笑可以让你忘记烦恼，那么一定是我们小酒窝的笑容！笑眼、酒窝，散发出的耀眼光芒让你无法阻挡！深厚的舞蹈功底，在舞台上的她自信、耀眼，让你离不开眼光！,6072953785,d67014f7,O,shy48,44
40037,40,SHY,菅瑞静,菅 瑞静,Jian RuiJing,JRJ,401,SIII,4002,SHY48 二期生,尖尖 、jerry,沈阳丝芭文化传媒有限公司,2017-04-29,165,03.07,双鱼座,独行侠双鱼座，独行侠的一周，3.3-3.10,中国 河北 邢台,唱歌,唱歌跳舞,2017.04.29 加入SHY48二期生<br>2017.04.29 加入SHY48TeamS队（TeamSIII）<br>2017.07.29 SHY48 TOP16 第十二名<br>2017.11.18 SNH48 GROUP第三届风尚大赏第十名,,6226633353,9f841b18,-,shy48,44
40048,40,SHY,李彬玉,李 彬玉,Li BinYu,LBY,401,SIII,4003,SHY48 三期生,木子、驴驴,沈阳丝芭文化传媒有限公司,2017-10-14,160,09.06,处女座,神秘处女座，谜样的一周，9.3-9.10,中国 辽宁 ,蛙跳、洁癖,吃喝玩乐、逛街买衣服、说学逗唱、HelloKitty、粉红豹,2017.10.14 加入SHY48三期生<br>2017.10.14 加入SHY48 SIII队（TeamSIII）,大家好，我是SHY48 TeamSIII的李彬玉。,6379036263,f55a8505,-,shy48,44
40007,40,SHY,刘娇,刘 娇,Liu Jiao,LJ,401,SIII,4001,SHY48 一期生,椒椒,沈阳丝芭文化传媒有限公司,2016-10-29,160,11.07,天蝎座,深奥天蝎座，深奥的一周，11.3-11.11,中国 辽宁 沈阳,杂技,旅游、听音乐、跳舞、逛街,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 SIII队（TeamSIII）<br>2017.07.15 SHY48 Team SIII 队长任命,双胞胎中的姐姐，是个温暖亲和力十足的少女！从小练习杂技，弯腰、掰腿都不在话下，舞台上的她们是最亮眼的姐妹花！,6077067367,1b00ad34,B,shy48,44
40008,40,SHY,刘娜,刘 娜,Liu Na,LN,401,SIII,4001,SHY48 一期生,辣辣,沈阳丝芭文化传媒有限公司,2016-10-29,161,11.07,天蝎座,深奥天蝎座，深奥的一周，11.3-11.11,中国 辽宁 沈阳,杂技,旅游、听音乐、跳舞、看小说,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 SIII队（TeamSIII）<br>2017.07.29 SHY48 TOP16 第十一名,双胞胎中的妹妹，是个外冷内热的少女！和姐姐一起从小练习杂技，对舞台有着特殊的情感，能够以SHY48成员的身份站在这么舞台，一定会散发独特的光芒！,6072479451,1b00ad34,B,shy48,44
40011,40,SHY,南翎璞,南 翎璞,Nan Ling Pu,NLP,401,SIII,4001,SHY48 一期生,楠楠,沈阳丝芭文化传媒有限公司,2016-10-29,172,12.12,射手座,泰坦神射手座，巨人的一周，12.11-12.18,中国 安徽 阜阳,画漫画、二胡,漫画、音乐、电影、宠物、日剧,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 SIII队（TeamSIII）,作为队中的“男”朋友，细心的守护着队友们。拥有细长的眉眼，是个十分清秀纯净的少女。不过，她可是个段子手哦，是队中必不可少的开心源！,6072253579,1b00ad34,O,shy48,44
40012,40,SHY,秦玺,秦 玺,Qin Xi,QX,401,SIII,4001,SHY48 一期生,七喜,沈阳丝芭文化传媒有限公司,2016-10-29,160,10.09,天秤座,社会天秤座，社会的一周，10.3-10.10,中国 湖南 ,舞蹈、画画,吉他、摄影、旅行、当志愿者,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 SIII队（TeamSIII）,长了一张温柔脸，却拥有反差萌这个可爱技能。这个来自湖南的女孩，说着一口带着湖南口音的“普通话”，绝对让你一见难忘！当你打开这瓶七喜，她就如汽水泡泡般占领你的心！,6072246154,1b00ad34,O,shy48,44
40015,40,SHY,徐静妍,徐 静妍,Xu JingYan,XJY,401,SIII,4001,SHY48 一期生,妍仔、啊妍,沈阳丝芭文化传媒有限公司,2016-10-29,157,06.16,双子座,追寻双子座，追寻的一周，6.11-6.18,中国 安徽 芜湖,电子琴、尤克里里、唱歌、游泳,听音乐、看书、打游戏、看电影,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 SIII队（TeamSIII）,下面给你介绍一个呆萌的少女，有着可爱的小圆眼，性格开朗活泼！最重要的是，弹得一手好琴，当手指按下琴键，美妙音符是否跳进你心里呢？,6078070724,2b070b69,O,shy48,44
40038,40,SHY,叶锦童,叶 锦童,Ye JinTong,YJT,401,SIII,4002,SHY48 二期生,童童、锦小童,沈阳丝芭文化传媒有限公司,2017-04-29,158,02.17,水瓶座,水瓶双鱼座，敏感的交界，2.16-2.22,中国 四川 德阳,跳舞、钢琴、美声,滑板、架子鼓,2017.04.29 加入SHY48二期生<br>2017.04.29 加入SHY48TeamS队（TeamSIII）,,6226628154,9f841b18,-,shy48,44
